question_id,dialogue,topics
5769f3bd008fce8e73e1ebfd,How do you know if someone is an alcoholic?,"[""Addiction""]"
56f4c1a7b814e1ce46371906,"How can I get over my posttraumatic stress disorder without my parents knowing about it?. I've had posttraumatic stress disorder for years without my parents ever finding out. I want to overcome it, but it’s so vivid, it’s like it’s happening again. I'm scared and paranoid. I have depression, which I have been struggling with since a young age","[""Depression"", ""Trauma""]"
5749dd14c792dd6c7063e4e2,How can I be less angry?. I get really mad easily at my parents and family,"[""Anger Management"", ""Family Conflict""]"
57451b1ac792dd6c7063e424,"How do I talk to my girlfriend about my anxiety from her exes?. My girlfriend remains friends with ex boyfriends/lovers on Facebook who actively like and comment on posts. It causes me to get jealous because I'm afraid they might reconnect somehow. I've attempted to talk to her about it, but she avoids it and doesn't seem to worry about how I feel about it","[""Intimacy"", ""Relationships""]"
5713bb74a43d56a91bc87035,"What can I do about my family not accepting me as bisexual?. After I told them, they yelled at me","[""Family Conflict"", ""LGBTQ""]"
579b8756188cd61c1684e80f,How can I help my girlfriend?. My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay,"[""Depression"", ""Relationships""]"
56f665c4b814e1ce46371918,What are some physical signs of psychosis?. I just need to know if I'm really crazy or not,"[""Behavioral Change""]"
557c72f7b1b211b80376b623,Where does a child go for help?. I'm having issues with my relative. The police never believe the experiences I have been through because I am only a kid. I've even had trouble trying to reach a therapist because I said I wanted to get an adult to help me. Could you please give me advice?,"[""Family Conflict""]"
574a1a85c792dd6c7063e4e4,"How can I be happier and healthier?. I've tried working out and eating fruits and vegetables, but I always seem to eat the junk in the house","[""Behavioral Change""]"
55f98f1ab82f58123979a0ed,"There's this girl I've been dating for months. We went out had great sex and I was really liking her. Then one day she says we should just be friends, but I can't stop thinking about her. She's always on mind and I want her back","[""Relationships""]"
5668ab2cf9037d5d3620db1f,"I'm in a relationship, and I think I like my ex-boyfriend. Who do I choose?. I'm dating this guy, Peter. My friend Jennifer used to date him a while ago, and she's fine with us dating. My ex-boyfriend, Paul, broke up with Jennifer, and she's devastated about it. Peter and I are going through a rough patch in our relationship. All of a sudden, Paul is in ""love"" with me, and he wants me back. I don't know what to do because I can't hurt my friend or my boyfriend, but I think I might Paul again","[""Relationships""]"
576caa463c9e6b307a8ae5c0,"Is self-diagnosing okay?. I'm currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality Disorder. I read the DSM-IV, taken college psychology, etc. I know it in my heart I have them. Is self-diagnosing okay with the right research?","[""Anxiety"", ""Depression""]"
5696bf3547d3646166253664,"How can I avoid having past traumatic experiences affect my present and future?. I have family issues, and my dad was both violent and a cheater","[""Family Conflict"", ""Trauma""]"
572fe1a1aaeea25a1918b58c,"Is there a reason I have always been attracted to men much older then me?. I am a young adult, and I was sexually assaulted by an older man when I was a teenager (which has really intensified the guilt/shame). However, I've been attracted to much older men since I was even younger than that","[""Human Sexuality""]"
575942e0c792dd6c7063e76f,How do I shake self-doubt about sex?. I get very nervous and anxious/scared before sex,"[""Anxiety"", ""Self-esteem""]"
56b952d092c6c8121977a0d3,"I get so angry that I want to explode.. I've got so much anger. I don't know how to control myself. My girlfriend screams at me all the time, and sometime I don't know how to deal with life. I'm very depressed and angry. I feel lost","[""Anger Management"", ""Depression"", ""Relationships""]"
587d14b8152ba8625f40048a,"How can I help my fiancé accept and let go of my past?. My fiancé and I come from a strong Christian background but both went off the ""straight and narrow"" once before. He is having a hard time accepting my past, especially that I'm not a virgin. He has a hard time in general accepting himself and others. His insecurities are hurting our relationship. How can I help him let go of my past and decide to live in the present?","[""Intimacy"", ""Relationships""]"
5698873b47d36461662536aa,"I think my trust issues are going to end my relationship early.. As I was growing up, my mother and father always fought. With that, I grew trust issues. I think it's going to affect my relationship now and end it sooner then I want to. I try not to let it affect me, but I can’t","[""Family Conflict"", ""Intimacy"", ""Relationships""]"
570008d738d8448168a85d94,"Is it okay if I take my friend's pills away?. My friend is abusing her prescription medicine. Even though she told me she didn't have any more pills, I found she has prescriptions for anxiety medications","[""Social Relationships""]"
570071bd38d8448168a85dcf,"Should I message my crush?. I have had a crush on this guy for years. I last talked to him a few years ago when we graduated from high school. We left off on a good note. Should I message him and see how he is doing, or is it too late?","[""Relationships"", ""Social Relationships""]"
5686d79fe716b51523007b22,"My wife no longer wants sex.. I crave attention, companionship, and sex. She has had a hysterectomy, and she has a bad knee","[""Human Sexuality"", ""Intimacy"", ""Marriage""]"
57921e55bc069dff6a5338b8,"How can I get counseling if my primary care physician won't help?. I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","[""Depression""]"
579ed169188cd61c1684e83e,"How do I tell a girl that I crossdress?. I crossdress and like to be feminine but I am attracted to women, but yet that seems to bother girls I date or ask out. How can I approach them about it? should I hold back and keep it a secret, or should I just be up-front about it. I wonder if i should stop or if I should continue to do it since it makes me happy. What should I do?","[""Human Sexuality"", ""Intimacy"", ""LGBTQ""]"
576256def1d8c4b515badc7d,"Why do I feel like I don't belong anywhere?. There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home","[""Depression""]"
