case_id,question_id,dialogue,topics,evidence_spans
C01,55f6e5ce64addbfb68de8dc7,"I am in my mid-40s and am currently mending a broken heart over another failed relationship. I keep getting into relationships with men that are in bad situations. I take them on and help them and do all I can and the relationship still fails. How do I learn to not get in relationships with men in bad situations? I see someone in need of help, I jump in. And it is getting me nowhere. I am alone sad and frustrated","[""Relationships""]","[{""id"": ""E1"", ""text"": ""I am in my mid-40s and am currently mending a broken heart over another failed relationship.""}, {""id"": ""E2"", ""text"": ""I keep getting into relationships with men that are in bad situations.""}, {""id"": ""E3"", ""text"": ""I take them on and help them and do all I can and the relationship still fails.""}, {""id"": ""E4"", ""text"": ""How do I learn to not get in relationships with men in bad situations?""}, {""id"": ""E5"", ""text"": ""I see someone in need of help, I jump in.""}, {""id"": ""E6"", ""text"": ""And it is getting me nowhere.""}, {""id"": ""E7"", ""text"": ""I am alone sad and frustrated""}]"
C02,572d13e2aaeea25a1918b538,"Is there anything I can do to help my siblings escape our emotionally abusive father?. I'm in college currently, so I am not a direct victim anymore. My father is very abusive with his words and actions, and my siblings are getting treated horribly","[""Family Conflict""]","[{""id"": ""E1"", ""text"": ""Is there anything I can do to help my siblings escape our emotionally abusive father?.""}, {""id"": ""E2"", ""text"": ""I'm in college currently, so I am not a direct victim anymore.""}, {""id"": ""E3"", ""text"": ""My father is very abusive with his words and actions, and my siblings are getting treated horribly""}]"
C03,5731753eaaeea25a1918b5fa,How can I manage my anxiety and depression so I can feel normal again?. My motivation has gone away. It's hard to get out of bed. I really don't know what to do anymore. I'm miserable. My anxiety and depression have taken over my life,"[""Anxiety"", ""Depression""]","[{""id"": ""E1"", ""text"": ""How can I manage my anxiety and depression so I can feel normal again?.""}, {""id"": ""E2"", ""text"": ""My motivation has gone away.""}, {""id"": ""E3"", ""text"": ""It's hard to get out of bed.""}, {""id"": ""E4"", ""text"": ""I really don't know what to do anymore.""}, {""id"": ""E5"", ""text"": ""I'm miserable.""}, {""id"": ""E6"", ""text"": ""My anxiety and depression have taken over my life""}]"
C04,56bacf8c4e568f192e1bfb5d,"Can my marriage be saved?. I have been married for ten years. My husband is 29 years my senior. We have a young daughter. Ever since she was born, my husband has ""shut down."" We have no intimacy; he doesn't even kiss me. I've told him how I feel for years, and he swears he loves me and wants to make me happy, but I still have to literally beg for sex and affection. My self-esteem is gone, and I feel so alone. He has stranded me. He uses his passive-aggressive ways and ignores every comment I make. He refuses to talk to me in detail","[""Intimacy"", ""Relationships""]","[{""id"": ""E1"", ""text"": ""Can my marriage be saved?.""}, {""id"": ""E2"", ""text"": ""I have been married for ten years.""}, {""id"": ""E3"", ""text"": ""My husband is 29 years my senior.""}, {""id"": ""E4"", ""text"": ""We have a young daughter.""}, {""id"": ""E5"", ""text"": ""Ever since she was born, my husband has \""shut down.\"" We have no intimacy; he doesn't even kiss me.""}, {""id"": ""E6"", ""text"": ""I've told him how I feel for years, and he swears he loves me and wants to make me happy, but I still have to literally beg for sex and affection.""}, {""id"": ""E7"", ""text"": ""My self-esteem is gone, and I feel so alone.""}, {""id"": ""E8"", ""text"": ""He has stranded me.""}]"
C05,56970df147d364616625368b,"I feel like my existence is meaningless.. I've been depressed for quite a while. I've been trying to work through it, and my boyfriend has been my rock. He is honestly the only person I trust enough to talk to about anything, but he decided to break up with me because of my depression. I cannot afford to see a therapist or anything, so he saw no hope in staying with me. My insurance has a $5000 deductible, so I’m screwed. I've had everything from suicidal thoughts to trying to quit my job. I have no one. My family doesn't care about me; they kicked me out when I turned 18 a few years ago. I had friends, but they have all moved on with their lives and have no time for me. My ex-boyfriend is trying to help but is making things worse because every time I see or hear him, I break down into tears. I found out that I will never be promoted now because of my depression","[""Depression""]","[{""id"": ""E1"", ""text"": ""I feel like my existence is meaningless..""}, {""id"": ""E2"", ""text"": ""I've been depressed for quite a while.""}, {""id"": ""E3"", ""text"": ""I've been trying to work through it, and my boyfriend has been my rock.""}, {""id"": ""E4"", ""text"": ""He is honestly the only person I trust enough to talk to about anything, but he decided to break up with me because of my depression.""}, {""id"": ""E5"", ""text"": ""I cannot afford to see a therapist or anything, so he saw no hope in staying with me.""}, {""id"": ""E6"", ""text"": ""My insurance has a $5000 deductible, so I’m screwed.""}, {""id"": ""E7"", ""text"": ""I've had everything from suicidal thoughts to trying to quit my job.""}, {""id"": ""E8"", ""text"": ""I have no one.""}]"
C06,5696c23247d3646166253666,"How can I control myself and learn to let things go or communicate?. Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. Whenever people tell me stuff about my relationship (like starting rumors or saying negative things about me or my relationship) I lash out not just them but at my boyfriend. I feel like I keep causing drama due to my personality. I want to be a better person and learn to let things not get to me and be happy and graceful. I hurt the ones I love with my words. I want to be better for myself and them","[""Anger Management"", ""Relationships"", ""Social Relationships""]","[{""id"": ""E1"", ""text"": ""How can I control myself and learn to let things go or communicate?.""}, {""id"": ""E2"", ""text"": ""Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting.""}, {""id"": ""E3"", ""text"": ""I say mean things to let my anger out.""}, {""id"": ""E4"", ""text"": ""Whenever people tell me stuff about my relationship (like starting rumors or saying negative things about me or my relationship) I lash out not just them but at my boyfriend.""}, {""id"": ""E5"", ""text"": ""I feel like I keep causing drama due to my personality.""}, {""id"": ""E6"", ""text"": ""I want to be a better person and learn to let things not get to me and be happy and graceful.""}, {""id"": ""E7"", ""text"": ""I hurt the ones I love with my words.""}, {""id"": ""E8"", ""text"": ""I want to be better for myself and them""}]"
C07,56cdf10d9fda1fcc7f4ccddc,Is it okay to date my ex-boyfriend’s cousin?. I have been dating my ex-boyfriend’s cousin for a few years. We have gotten pretty serious. He wants to cut it off because people are giving him a hard time that our kids will be related to my ex,"[""Family Conflict"", ""Relationships""]","[{""id"": ""E1"", ""text"": ""Is it okay to date my ex-boyfriend’s cousin?.""}, {""id"": ""E2"", ""text"": ""I have been dating my ex-boyfriend’s cousin for a few years.""}, {""id"": ""E3"", ""text"": ""We have gotten pretty serious.""}, {""id"": ""E4"", ""text"": ""He wants to cut it off because people are giving him a hard time that our kids will be related to my ex""}]"
C08,579c2689188cd61c1684e817,How can I deal with my depression?. I know I need to deal with my depression. But I don't know how and I don't want to tell anyone. How can I deal with depression without telling anyone?,"[""Depression""]","[{""id"": ""E1"", ""text"": ""How can I deal with my depression?.""}, {""id"": ""E2"", ""text"": ""I know I need to deal with my depression.""}, {""id"": ""E3"", ""text"": ""But I don't know how and I don't want to tell anyone.""}, {""id"": ""E4"", ""text"": ""How can I deal with depression without telling anyone?""}]"
C09,566e3dd19f3a71de09b3c18e,"I don't know if my ex-boyfriend is using opiates again.. My boyfriend and I recently broke up. One week, we were fine, and the next, he told me he needed space. He completely deleted me out of his life. He does have an opiate addiction. He claimed he was sober, but since we've split, I've heard many lies from him. Could he be using again, and does this addiction affect the mind?","[""Addiction"", ""Relationships""]","[{""id"": ""E1"", ""text"": ""I don't know if my ex-boyfriend is using opiates again..""}, {""id"": ""E2"", ""text"": ""My boyfriend and I recently broke up.""}, {""id"": ""E3"", ""text"": ""One week, we were fine, and the next, he told me he needed space.""}, {""id"": ""E4"", ""text"": ""He completely deleted me out of his life.""}, {""id"": ""E5"", ""text"": ""He does have an opiate addiction.""}, {""id"": ""E6"", ""text"": ""He claimed he was sober, but since we've split, I've heard many lies from him.""}, {""id"": ""E7"", ""text"": ""Could he be using again, and does this addiction affect the mind?""}]"
C10,55d030616ae5f72373d44189,"How do I make myself happy without someone who made me happy?. How do I make myself happy without the people who made me happy? Now that they’re gone, I feel sad. It’s been two months now but I seem to be unable to stay okay and independent","[""Depression"", ""Relationships""]","[{""id"": ""E1"", ""text"": ""How do I make myself happy without someone who made me happy?.""}, {""id"": ""E2"", ""text"": ""How do I make myself happy without the people who made me happy?""}, {""id"": ""E3"", ""text"": ""Now that they’re gone, I feel sad.""}, {""id"": ""E4"", ""text"": ""It’s been two months now but I seem to be unable to stay okay and independent""}]"
